FIPS,city,baseline,current,state
1073,Birmingham,1,1,AL
12031,Jacksonville,1,0,FL
18097,Indianapolis,1,1,IN
21111,Louisville,1,1,KY
26081,Grand Rapids,0,1,MI
29095,Kansas City,1,1,MO
29189,St. Louis,0,1,MO
29510,St. Louis,0,1,MO
31055,Omaha,1,1,NE
37081,Greensboro,1,1,NC
37119,Charlotte,1,1,NC
37183,Raleigh,1,0,NC
39049,Columbus,1,1,OH
39061,Cincinnati,1,1,OH
39113,Dayton,1,0,OH
40109,Oklahoma City,0,1,OK
40143,Tulsa,0,1,OK
45045,Greenville,0,1,SC
47037,Nashville,1,1,TN
47093,Knoxville,0,1,TN
47157,Memphis,1,1,TN
51760,Richmond,1,0,VA
MERGED,St. Louis,0,1,MO
