Chained Consumer Price Index for All Urban Consumers (C-CPI-U): U.S. city average,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,SUUR0000SA0,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,
Series Title:,"All items in U.S. city average, all urban consumers, chained, not seasonally adjusted",,,,,,,,,,,
Area:,U.S. city average,,,,,,,,,,,
Item:,All items,,,,,,,,,,,
Base Period:,DECEMBER 1999=100,,,,,,,,,,,
Years:,2000 to 2024,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2000,100.3,100.9,101.6,101.6,101.7,102.1,102.3,102.3,102.8,102.9,102.8,102.6
2001,103.3,103.7,103.9,104.2,104.6,104.8,104.5,104.6,104.9,104.7,104.4,103.9
2002,104.2,104.5,105.1,105.6,105.6,105.6,105.7,106.0,106.3,106.4,106.3,106.0
2003,106.5,107.3,107.9,107.7,107.5,107.6,107.7,108.2,108.5,108.4,108.0,107.8
2004,108.5,109.1,109.7,110.0,110.6,110.8,110.7,110.7,111.0,111.6,111.6,111.2
2005,111.3,111.9,112.6,113.4,113.3,113.2,113.7,114.3,115.6,115.7,114.9,114.4
2006,115.2,115.4,116.0,116.9,117.5,117.7,118.1,118.3,117.8,117.1,116.9,117.0
2007,117.330,117.877,118.913,119.666,120.292,120.439,120.377,120.288,120.638,120.885,121.481,121.295
2008,121.867,122.250,123.323,124.116,125.171,126.307,126.918,126.594,126.551,125.500,123.044,121.557
2009,122.095,122.598,122.803,123.053,123.427,124.485,124.293,124.620,124.706,124.791,124.788,124.544
2010,124.987,124.972,125.442,125.620,125.678,125.521,125.536,125.756,125.830,125.969,125.920,126.143
2011,126.778,127.363,128.585,129.483,129.999,129.846,129.983,130.351,130.635,130.373,130.196,129.844
2012,130.438,130.953,131.905,132.284,132.154,131.956,131.731,132.430,132.988,132.892,132.208,131.770
2013,132.137,133.204,133.558,133.421,133.626,133.900,133.919,134.098,134.255,133.876,133.596,133.509
2014,134.017,134.542,135.375,135.771,136.216,136.433,136.392,136.127,136.211,135.891,135.107,134.207
2015,133.487,134.053,134.969,135.222,135.977,136.391,136.371,136.125,135.837,135.735,135.393,134.788
2016,134.966,134.953,135.655,136.332,136.895,137.329,137.007,137.026,137.328,137.536,137.253,137.221
2017,138.035,138.403,138.461,138.810,138.922,138.989,138.755,139.128,139.878,139.782,139.720,139.546
2018,140.239,140.805,141.142,141.662,142.146,142.349,142.317,142.317,142.489,142.700,142.238,141.699
2019,142.001,142.571,143.297,143.926,144.183,144.243,144.409,144.388,144.428,144.629,144.518,144.251
2020,144.813,145.193,144.913,144.142,144.018,144.847,145.747,146.270,146.417,146.382,146.242,146.408
2021,147.125,147.845,148.746,149.903,151.022,152.295,153.076,153.301,153.734,154.884,155.538,155.926
2022,157.178,158.617,160.835,161.787,163.615,165.553,165.495,165.389,165.845,166.609,166.498,165.974
2023,167.267,168.069,168.501,169.332,169.738,170.279,170.541,171.291,171.677,171.595,171.219,171.015
2024,171.910,,,,,,,,,,,
